threshold_GeV,n_components,euler_chi,voxel_volume
120.000,1,1,16000
120.125,1,1,16000
120.250,1,1,16000
120.375,1,1,16000
120.500,1,1,16000
120.625,1,1,16000
120.750,1,1,16000
120.875,1,1,16000
121.000,1,1,16000
121.125,1,1,16000
121.250,1,1,16000
121.375,1,1,16000
121.500,1,1,16000
121.625,1,1,16000
121.750,1,1,16000
121.875,1,1,16000
122.000,1,1,16000
122.125,1,1,16000
122.250,1,1,16000
122.375,1,1,16000
122.500,1,1,16000
122.625,1,1,16000
122.750,1,1,16000
122.875,1,1,16000
123.000,1,1,16000
123.125,1,1,16000
123.250,1,1,16000
123.375,1,1,16000
123.500,1,1,16000
123.625,1,1,16000
123.750,1,1,16000
123.875,1,1,16000
124.000,1,1,16000
124.125,1,1,16000
124.250,1,1,16000
124.375,1,1,16000
124.500,1,1,16000
124.625,1,1,16000
124.750,1,-17,15710
124.875,1,-81,13880
125.000,78,77,8320
125.125,75,75,1860
125.250,21,21,270
125.375,0,0,0
125.500,0,0,0
125.625,0,0,0
125.750,0,0,0
125.875,0,0,0
126.000,0,0,0
126.125,0,0,0
126.250,0,0,0
126.375,0,0,0
126.500,0,0,0
126.625,0,0,0
126.750,0,0,0
126.875,0,0,0
127.000,0,0,0
127.125,0,0,0
127.250,0,0,0
127.375,0,0,0
127.500,0,0,0
127.625,0,0,0
127.750,0,0,0
127.875,0,0,0
128.000,0,0,0
128.125,0,0,0
128.250,0,0,0
128.375,0,0,0
128.500,0,0,0
128.625,0,0,0
128.750,0,0,0
128.875,0,0,0
129.000,0,0,0
129.125,0,0,0
129.250,0,0,0
129.375,0,0,0
129.500,0,0,0
129.625,0,0,0
129.750,0,0,0
129.875,0,0,0
130.000,0,0,0
